Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Ad Group,Max CPC,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
PSI - Entry Jobs,,,,,,software,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,app,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,handyman,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,odd jobs,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,hourly rate,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,per hour,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,small repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,repair service,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,patch,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,drywall patch,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,touch up,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,maintenance,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,snow removal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,landscaping,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,lawn,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,roofing only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,roof repair,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,gutter,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,siding only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,window replacement,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,appliance,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,plumber,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,electrician only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,hvac,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,cleaning,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,junk removal,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,pressure washing,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
PSI - Entry Jobs,,,,,,painting only,Campaign Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
